cid,city
BRXX0241,Tatui
BRXX0242,Taubate
BRXX0243,Tefe
BRXX0244,Terenos
BRXX0245,Teresina
BRXX0246,Tijucas
BRXX0247,Tres Lagoas
BRXX0248,Trindade
BRXX0249,Tubarao
BRXX0250,Tupa
BRXX0251,Ubatuba
BRXX0252,Uberaba
BRXX0253,Uberlandia
BRXX0254,Uruguaiana
BRXX0255,Varzea Grande
BRXX0256,Vera Cruz
BRXX0257,Viamao
BRXX0258,Vilhena
BRXX0259,Vitoria
BRXX0260,Vitoria da Conquista
BRXX0261,Votuporanga
BRXX0263,Angra dos Reis
BRXX0264,Araguari
BRXX0265,Araraquara
BRXX0266,Arvoredo
BRXX0267,Assis
BRXX0268,Bertioga
BRXX0269,Buzios
BRXX0270,Cacapava
BRXX0271,Camboriu
BRXX0272,Carapicuiba
BRXX0273,Caruaru
BRXX0274,Castanhal
BRXX0275,Cianorte
BRXX0276,Concordia
BRXX0277,Cruz Alta
BRXX0278,Currais Novos
BRXX0279,Erexim
BRXX0280,Gravatai
BRXX0281,Guaruja
BRXX0282,Ilhabela
BRXX0283,Ilheus
BRXX0284,Itabaiana
BRXX0285,Itabuna
BRXX0286,Itanhaem
BRXX0287,Itapetininga
BRXX0288,Muribeca dos Guararapes
BRXX0289,Jequie
BRXX0290,Juazeiro do Norte
BRXX0291,Lages
BRXX0292,Laguna
BRXX0293,Lins
BRXX0294,Maracanau
BRXX0295,Maresias
BRXX0296,Mogi Das Cruzes
BRXX0297,Mogi-Guacu
BRXX0298,Mongagua
BRXX0299,Nilopolis
BRXX0300,Parati
BRXX0301,Parnaiba
BRXX0302,Patos de Minas
BRXX0303,Patrocinio
BRXX0304,Paulista
BRXX0305,Pedra Azul
BRXX0306,Porto Seguro
BRXX0307,Santa Branca
BRXX0308,Santa Cruz do Sul
BRXX0309,Sao Joao del Rei
BRXX0310,Sao Mateus
BRXX0311,Sao Sebastiao
BRXX0312,Sobral
BRXX0313,Sumare
BRXX0314,Teofilo Otoni
BRXX0315,Teresopolis
BRXX0316,Timon
BRXX0317,Umuarama
BRXX0318,Varginha
BRXX0319,Vila Velha
BRXX0320,Volta Redonda
BRXX0323,Ilheus Aeroporto
BRXX0327,Santa Marta
BRXX0333,Boraciia
BRXX0336,Juquia
BRXX0339,Alta Floresta
BRXX0340,Imperatriz
BRXX0341,Santana do Piraguara
BRXX0342,Poa
BRXX0344,Sao Roque
BRXX0345,Cabreuva
BRXX0346,Abaete
BRXX0347,Afua
BRXX0348,Aguai
BRXX0349,Aguas de Sao Pedro
BRXX0350,Aguas Formosas
BRXX0351,Aimores
BRXX0352,Alpinopolis
BRXX0353,Alvaraes
BRXX0354,Alvares Machado
BRXX0355,Andira
BRXX0356,Apiai
BRXX0357,Araguaina
BRXX0358,Aruja
BRXX0359,Bambui
BRXX0360,Barra de Sao Francisco
BRXX0361,Barra do Pirai
BRXX0362,Boa Esperanca
BRXX0363,Bocaiuva
BRXX0364,Jau
BRXX0365,Caete
BRXX0366,Capao Bonito
BRXX0367,Capao da Canoa
BRXX0368,Caparao
BRXX0369,Caracarai
BRXX0370,Cerqueira Cesar
BRXX0371,Cesario Lange
BRXX0372,Cipo
BRXX0373,Codajas
BRXX0374,Cristalandia
BRXX0375,Cubatao
BRXX0376,Curuca
BRXX0377,Espirito Santo do Pinh
BRXX0378,Herval
BRXX0379,Filadelfia
BRXX0380,Francisco Sa
BRXX0381,Grao Mogol
BRXX0382,Guaira
BRXX0383,Guaratingueta
BRXX0384,Gurupa
BRXX0385,Humaita
BRXX0386,Ibiai
BRXX0387,Ibiuna
BRXX0388,Iepe
BRXX0389,Ipero
BRXX0390,Ipiiba
BRXX0391,Irai
BRXX0392,Irece
BRXX0393,Itaborai
BRXX0394,Itaguai
BRXX0395,Itai
BRXX0396,Itapolis
BRXX0397,Ivai
BRXX0398,Jacarei
BRXX0399,Januaria
BRXX0400,Joao Neiva
BRXX0401,Joao Pinheiro
BRXX0402,Jose Bonifacio
BRXX0403,Jurua
BRXX0404,Lindoia
BRXX0405,Lucelia
BRXX0406,Morro do Chapeu
BRXX0407,Mairipora
BRXX0408,Mancio Lima
BRXX0409,Marataizes
BRXX0410,Marica
BRXX0411,Martinopolis
